dt,AverageTemperature
1842-02-01,23.781
1842-03-01,25.742
1842-04-01,27.142
1842-05-01,27.936
1842-06-01,27.632
1842-07-01,26.793
1842-08-01,25.821
1842-09-01,25.979
1842-10-01,27.021
1842-11-01,26.869
1842-12-01,25.912
1843-01-01,24.104
1843-02-01,24.304
1843-03-01,24.654
1843-04-01,26.552
1843-05-01,27.596
1843-06-01,27.71
1843-07-01,26.491
1843-08-01,25.992
1843-09-01,26.078
1843-10-01,26.716
1843-11-01,26.389
1843-12-01,24.745
1844-01-01,23.549
1844-02-01,22.053
1844-03-01,24.653
1844-04-01,26.602
1844-05-01,27.729
1844-06-01,27.909
1844-07-01,26.431
1844-08-01,26.214
1844-09-01,25.836
1844-10-01,27.237
1844-11-01,26.618
1844-12-01,25.731
1845-01-01,24.308
1845-02-01,23.325
1845-03-01,25.345
1845-04-01,26.993
1845-05-01,28.112
1845-06-01,27.55
1845-07-01,27.124
1845-08-01,26.387
1845-09-01,26.425
1845-10-01,26.703
1845-11-01,26.745
1845-12-01,24.796
1846-01-01,25.47
1846-02-01,24.423
1846-03-01,26.7
1846-04-01,26.66
1846-05-01,28.379
1846-06-01,28.415
1846-07-01,27.708
1846-08-01,26.713
1846-09-01,26.496
1846-10-01,26.612
1846-11-01,26.986
1846-12-01,25.93
1847-01-01,24.564
1847-02-01,24.256
1847-03-01,24.491
1847-04-01,27.089
1847-05-01,27.871
1847-06-01,27.694
1847-07-01,27.047
1847-08-01,26.166
1847-09-01,26.519
1847-10-01,26.988
1847-11-01,27.04
1847-12-01,24.036
1848-01-01,24.068
1848-02-01,23.82
1848-03-01,24.934
1848-04-01,26.951
1848-05-01,28.043
1848-06-01,27.025
1848-07-01,26.932
1848-08-01,26.318
1848-09-01,26.693
1848-10-01,27.042
1848-11-01,26.744
1848-12-01,25.332
1849-01-01,23.387
1849-02-01,23.913
1849-03-01,25.326
1849-04-01,26.364
1849-05-01,28.286
1849-06-01,26.955
1849-07-01,26.467
1849-08-01,26.314
1849-09-01,25.798
1849-10-01,27.199
1849-11-01,27.801
1849-12-01,25.023
1850-01-01,22.78
1850-02-01,23.713
1850-03-01,25.301
1850-04-01,26.426
1850-05-01,27.85
1850-06-01,28.062
1850-07-01,27.173
1850-08-01,26.768
1850-09-01,26.72
1850-10-01,27.884
1850-11-01,26.778
1850-12-01,24.934
1851-01-01,22.979
1851-02-01,23.823
1851-03-01,25.376
1851-04-01,26.931
1851-05-01,28.295
1851-06-01,27.571
1851-07-01,26.521
1851-08-01,26.309
1851-09-01,26.645
1851-10-01,27.482
1851-11-01,26.803
1851-12-01,24.779
1852-01-01,24.12
1852-02-01,23.855
1852-03-01,24.677
1852-04-01,26.708
1852-05-01,28.264
1852-06-01,27.967
1852-07-01,26.908
1852-08-01,25.991
1852-09-01,26.552
1852-10-01,27.082
1852-11-01,26.518
1852-12-01,25.634
1853-01-01,23.885
1853-02-01,23.168
1853-03-01,25.143
1853-04-01,26.768
1853-05-01,28.588
1853-06-01,28.628
1853-07-01,27.46
1853-08-01,26.545
1853-09-01,26.951
1853-10-01,27.336
1853-11-01,26.619
1853-12-01,25.293
1854-01-01,23.45
1854-02-01,23.363
1854-03-01,25.416
1854-04-01,27.289
1854-05-01,28.703
1854-06-01,28.313
1854-07-01,27.379
1854-08-01,26.59
1854-09-01,26.604
1854-10-01,27.839
1854-11-01,27.372
1854-12-01,25.679
1855-01-01,24.451
1855-02-01,24.144
1855-03-01,25.363
1855-04-01,27.772
1855-05-01,29.181
1855-06-01,28.261
1855-07-01,27.287
1855-08-01,26.621
1855-09-01,26.646
1855-10-01,26.986
1855-11-01,26.802
1855-12-01,24.656
1856-01-01,24.239
1856-02-01,23.803
1856-03-01,25.133
1856-04-01,26.886
1856-05-01,28.119
1856-06-01,28.094
1856-07-01,26.587
1856-08-01,25.229
1856-09-01,26.075
